"","income","scenario_adopt","scenario_sharing","strategy_short","total_energy_annual_demand_kwh","total_demand_carbon_tonnes","total_nitrogen_oxide_tonnes","total_sulpher_dioxide_tonnes","total_pm10_tonnes"
"139","UMIC","low","Active","5G (F)",9796926035.52,545230.645954942,170.889271147993,15078.0888472796,9959.42779245425
"140","UMIC","low","Active","5G (W)",10861337517.12,598504.924238679,187.71257528495,16482.7496082171,10658.6241578157
"141","UMIC","low","SRN","4G (F)",14396463198.72,709799.493517427,222.227102382652,18495.0995380325,9018.46021779213
"142","UMIC","low","SRN","4G (W)",17764184229.12,874370.869172297,273.840036197269,22780.6181159241,11077.3482853319
"143","UMIC","low","SRN","5G (F)",12380683340.16,693168.607630128,218.356391074769,19327.9979983347,12945.2171704783
"144","UMIC","low","SRN","5G (W)",13236540946.56,736744.66171341,232.781982052406,20530.3208740171,13538.7669644856
"145","HIC","baseline","Baseline","4G (F)",8508197093.76,370562.095924777,136.137863450824,11072.2987052848,4631.6248499018
"146","HIC","baseline","Baseline","4G (W)",9365761848.96,407834.278496204,148.822156097113,12114.4751146861,5098.32498409306
"147","HIC","baseline","Baseline","5G (F)",7606821476.16,344144.699221466,130.43810325692,10669.2919662157,4663.57205594084
"148","HIC","baseline","Baseline","5G (W)",7800582864.96,352176.544544841,133.403788651193,10909.8127106355,4761.86110857703
"149","HIC","baseline","Passive","4G (F)",8508197093.76,370562.095924777,136.137863450824,11072.2987052848,4631.6248499018
"150","HIC","baseline","Passive","4G (W)",9365761848.96,407834.278496204,148.822156097113,12114.4751146861,5098.32498409306
"151","HIC","baseline","Passive","5G (F)",7606821476.16,344144.699221466,130.43810325692,10669.2919662157,4663.57205594084
"152","HIC","baseline","Passive","5G (W)",7800582864.96,352176.544544841,133.403788651193,10909.8127106355,4761.86110857703
"153","HIC","baseline","Active","4G (F)",4877060690.88,211806.800592859,76.9565902667793,6240.11981208486,2550.45015361827
"154","HIC","baseline","Active","4G (W)",5865104594.88,253613.390360658,91.9096998943281,7451.63091091734,3041.53807406168
"155","HIC","baseline","Active","5G (F)",6424013548.8,291095.782029869,110.646212808325,9024.89571938398,3867.56639701113
"156","HIC","baseline","Active","5G (W)",7748361561.6,350966.389692216,133.202726687367,10858.317621014,4633.23806704466
"157","HIC","baseline","SRN","4G (F)",5548516162.56,239500.506586737,87.7435268322397,7115.12598975691,2909.41645591944
"158","HIC","baseline","SRN","4G (W)",6625827970.56,284865.870875178,104.228994550005,8451.29526375388,3452.90580901667
"159","HIC","baseline","SRN","5G (F)",7588917858.24,343508.981305096,130.1709529457,10647.6758295285,4654.90465449923
"160","HIC","baseline","SRN","5G (W)",8936808546.24,404252.521963897,153.174828522556,12518.0906549117,5438.03657204191
"161","HIC","high","Baseline","4G (F)",10887057437.76,479469.631554867,177.518197202313,14432.411365158,6025.93192018064
"162","HIC","high","Baseline","4G (W)",12088200605.76,529453.375583336,195.327254161016,15890.2312988214,6662.31916644772
"163","HIC","high","Baseline","5G (F)",8287071707.52,375123.323954316,142.323460765219,11637.5418001054,5075.13572524239
"164","HIC","high","Baseline","5G (W)",8505027515.52,384117.479132923,145.697886926657,11911.1771491532,5186.91458001756
"165","HIC","high","Passive","4G (F)",10887057437.76,479469.631554867,177.518197202313,14432.411365158,6025.93192018064
"166","HIC","high","Passive","4G (W)",12088200605.76,529453.375583336,195.327254161016,15890.2312988214,6662.31916644772
"167","HIC","high","Passive","5G (F)",8287071707.52,375123.323954316,142.323460765219,11637.5418001054,5075.13572524239
"168","HIC","high","Passive","5G (W)",8505027515.52,384117.479132923,145.697886926657,11911.1771491532,5186.91458001756
"169","HIC","high","Active","4G (F)",6110473386.24,267833.861428194,98.4542844593789,7979.39054923958,3252.65312507647
"170","HIC","high","Active","4G (W)",7564001264.64,331653.875520919,121.87519967551,9877.88628087713,4027.49599008356
"171","HIC","high","Active","5G (F)",7055229504.96,320049.054698193,121.682230933857,9923.00193216045,4246.40538668694
"172","HIC","high","Active","5G (W)",8542711143.36,387497.992950429,147.075993247739,11986.2746218236,5105.8042582798
